name,address,url,price_category,likes,rating,api
Bistrot Leo,"60 Thompson St, New York, NY 10012",https://www.yelp.com/biz/bistrot-leo-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$$,,8.0,yelp
Wayan,"20 Spring St, New York, NY 10012",https://www.yelp.com/biz/wayan-new-york-4?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$$,,9.0,yelp
Joe's Shanghai,"46 Bowery St, New York, NY 10013",https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,8.0,yelp
Amélie,"22 W 8th St, New York, NY 10011",https://www.yelp.com/biz/am%C3%A9lie-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,9.0,yelp
JeJu Noodle Bar,"679 Greenwich St, New York, NY 10014",https://www.yelp.com/biz/jeju-noodle-bar-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,9.0,yelp
Despaña Queens,"408 Broome St, New York, NY 10013",https://www.yelp.com/biz/despa%C3%B1a-queens-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,9.0,yelp
Flipper’s,"337 W Broadway, New York, NY 10013",https://www.yelp.com/biz/flipper-s-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,7.0,yelp
Balthazar Restaurant,"80 Spring St, New York, NY 10012",https://www.yelp.com/biz/balthazar-restaurant-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$$,,8.0,yelp
Blue Ribbon Brasserie - SoHo,"97 Sullivan St, New York, NY 10012",https://www.yelp.com/biz/blue-ribbon-brasserie-soho-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$$,,9.0,yelp
Pi Bakerie,"512 Broome St, New York, NY 10013",https://www.yelp.com/biz/pi-bakerie-new-york-2?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,9.0,yelp
Crab Du Jour - Westvillage,"319 6th Ave, New York, NY 10014",https://www.yelp.com/biz/crab-du-jour-westvillage-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,,,9.0,yelp
New York Bo Ky Restaurant,"94 Baxter St, New York, NY 10013",https://www.yelp.com/biz/new-york-bo-ky-restaurant-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,,,10.0,yelp
Au Cheval,"33 Cortlandt Alley, New York, NY 10013",https://www.yelp.com/biz/au-cheval-new-york-7?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,,,9.0,yelp
Paesano of Mulberry Street,"136 Mulberry St, New York, NY 10013",https://www.yelp.com/biz/paesano-of-mulberry-street-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,8.0,yelp
Lupa,"170 Thompson St, New York, NY 10012",https://www.yelp.com/biz/lupa-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$$,,8.0,yelp
Raoul's Restaurant,"180 Prince St, New York, NY 10012",https://www.yelp.com/biz/raouls-restaurant-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$$,,8.0,yelp
Altesi Downtown,"200 Spring St, New York, NY 10012",https://www.yelp.com/biz/altesi-downtown-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,8.0,yelp
Lola Taverna,"210 6th Ave, New York, NY 10014",https://www.yelp.com/biz/lola-taverna-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,,,7.0,yelp
Ba'al Cafe & Falafel,"71 Sullivan St, New York, NY 10012",https://www.yelp.com/biz/baal-cafe-and-falafel-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$,,9.0,yelp
Pommes Frites,"128 Macdougal St, New York, NY 10012",https://www.yelp.com/biz/pommes-frites-new-york-2?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$,,9.0,yelp
Carbone,"181 Thompson St, New York, NY 10012",https://www.yelp.com/biz/carbone-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$$$,,8.0,yelp
EL Gallo Taqueria,"369 Broome St, New York, NY 10013",https://www.yelp.com/biz/el-gallo-taqueria-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,,,10.0,yelp
Thai Diner,"186 Mott St, New York, NY 10012",https://www.yelp.com/biz/thai-diner-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,7.0,yelp
Clay Pot - West Village,"270 Bleeker St, New York, NY 10014",https://www.yelp.com/biz/clay-pot-west-village-new-york-2?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,9.0,yelp
19 Cleveland By Nish Nush,"19 Cleveland Pl, New York, NY 10012",https://www.yelp.com/biz/19-cleveland-by-nish-nush-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,9.0,yelp
12 Chairs,"56 MacDougal St, New York, NY 10012",https://www.yelp.com/biz/12-chairs-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,8.0,yelp
PRICELESS | Kjolle,"6 St Johns Ln, New York, NY 10013",https://www.yelp.com/biz/priceless-kjolle-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,,,10.0,yelp
Spring & Varick,"246 Spring St, New York, NY 10013",https://www.yelp.com/biz/spring-and-varick-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,,,7.0,yelp
Carroll Place,"157 Bleecker St, New York, NY 10012",https://www.yelp.com/biz/carroll-place-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,8.0,yelp
Piccola Cucina Enoteca,"184 Prince St, New York, NY 10012",https://www.yelp.com/biz/piccola-cucina-enoteca-new-york-2?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,8.0,yelp
